financial_year,council_area,sex,age_group,number_of_people
2018/19,Glasgow City,Female,18-64,200
2018/19,Glasgow City,Female,65-74,274
2018/19,Glasgow City,Female,75-84,688
2018/19,Glasgow City,Female,85-94,1040
2018/19,Glasgow City,Female,95 and Older,230
2018/19,Glasgow City,Male,18-64,329
2018/19,Glasgow City,Male,65-74,261
2018/19,Glasgow City,Male,75-84,420
2018/19,Glasgow City,Male,85-94,290
2018/19,Glasgow City,Male,95 and Older,34
2018/19,Highland,Female,18-64,100
2018/19,Highland,Female,65-74,86
2018/19,Highland,Female,75-84,300
2018/19,Highland,Female,85-94,503
2018/19,Highland,Female,95 and Older,141
2018/19,Highland,Male,18-64,139
2018/19,Highland,Male,65-74,122
2018/19,Highland,Male,75-84,161
2018/19,Highland,Male,85-94,161
2018/19,Highland,Male,95 and Older,23
2018/19,Inverclyde,Female,18-64,37
2018/19,Inverclyde,Female,65-74,31
2018/19,Inverclyde,Female,75-84,137
2018/19,Inverclyde,Female,85-94,227
2018/19,Inverclyde,Female,95 and Older,41
2018/19,Inverclyde,Male,18-64,46
2018/19,Inverclyde,Male,65-74,38
2018/19,Inverclyde,Male,75-84,72
2018/19,Inverclyde,Male,85-94,58
2018/19,Inverclyde,Male,95 and Older,6
2018/19,Midlothian,Female,18-64,54
2018/19,Midlothian,Female,75-84,87
2018/19,Midlothian,Female,85-94,146
2018/19,Midlothian,Male,18-64,40
2018/19,Midlothian,Male,75-84,32
2018/19,Midlothian,Male,85-94,40
2018/19,Moray,Female,18-64,7
2018/19,Moray,Female,65-74,26
2018/19,Moray,Female,75-84,103
2018/19,Moray,Female,85-94,178
2018/19,Moray,Female,95 and Older,39
2018/19,Moray,Male,18-64,7
2018/19,Moray,Male,65-74,28
2018/19,Moray,Male,75-84,61
2018/19,Moray,Male,85-94,56
2018/19,Moray,Male,95 and Older,6
2018/19,Na h-Eileanan Siar,Female,75-84,40
2018/19,Na h-Eileanan Siar,Female,85-94,73
2018/19,Na h-Eileanan Siar,Female,95 and Older,16
2018/19,Na h-Eileanan Siar,Male,65-74,9
2018/19,Na h-Eileanan Siar,Male,75-84,23
2018/19,Na h-Eileanan Siar,Male,85-94,16
2018/19,North Ayrshire,Female,18-64,53
2018/19,North Ayrshire,Female,65-74,53
2018/19,North Ayrshire,Female,75-84,215
2018/19,North Ayrshire,Female,85-94,240
2018/19,North Ayrshire,Female,95 and Older,57
2018/19,North Ayrshire,Male,18-64,87
2018/19,North Ayrshire,Male,65-74,50
2018/19,North Ayrshire,Male,75-84,107
2018/19,North Ayrshire,Male,85-94,91
2018/19,North Ayrshire,Male,95 and Older,8
2018/19,North Lanarkshire,Female,18-64,21
2018/19,North Lanarkshire,Female,65-74,103
2018/19,North Lanarkshire,Female,75-84,355
2018/19,North Lanarkshire,Female,85-94,419
2018/19,North Lanarkshire,Female,95 and Older,91
2018/19,North Lanarkshire,Male,18-64,48
2018/19,North Lanarkshire,Male,65-74,80
2018/19,North Lanarkshire,Male,75-84,160
2018/19,North Lanarkshire,Male,85-94,124
2018/19,North Lanarkshire,Male,95 and Older,10
2018/19,Orkney Islands,Female,75-84,20
2018/19,Orkney Islands,Female,85-94,38
2018/19,Orkney Islands,Female,95 and Older,7
2018/19,Orkney Islands,Male,75-84,10
2018/19,Orkney Islands,Male,85-94,10
2018/19,Perth and Kinross,Female,18-64,60
2018/19,Perth and Kinross,Female,65-74,57
2018/19,Perth and Kinross,Female,75-84,181
2018/19,Perth and Kinross,Female,85-94,391
2018/19,Perth and Kinross,Female,95 and Older,137
2018/19,Perth and Kinross,Male,18-64,97
2018/19,Perth and Kinross,Male,65-74,56
2018/19,Perth and Kinross,Male,75-84,109
2018/19,Perth and Kinross,Male,85-94,132
2018/19,Perth and Kinross,Male,95 and Older,27
2018/19,Renfrewshire,Female,18-64,33
2018/19,Renfrewshire,Female,65-74,72
2018/19,Renfrewshire,Female,75-84,230
2018/19,Renfrewshire,Female,85-94,407
2018/19,Renfrewshire,Female,95 and Older,85
2018/19,Renfrewshire,Male,18-64,48
2018/19,Renfrewshire,Male,65-74,62
2018/19,Renfrewshire,Male,75-84,157
2018/19,Renfrewshire,Male,85-94,139
2018/19,Renfrewshire,Male,95 and Older,16
2018/19,Scotland,Female,18-64,1348
2018/19,Scotland,Female,65-74,1895
2018/19,Scotland,Female,75-84,6384
2018/19,Scotland,Female,85-94,10579
2018/19,Scotland,Female,95 and Older,2668
2018/19,Scotland,Male,18-64,1872
2018/19,Scotland,Male,65-74,1816
2018/19,Scotland,Male,75-84,3392
2018/19,Scotland,Male,85-94,3221
2018/19,Scotland,Male,95 and Older,464
2018/19,Scottish Borders,Female,18-64,21
2018/19,Scottish Borders,Female,65-74,32
2018/19,Scottish Borders,Female,75-84,125
2018/19,Scottish Borders,Female,85-94,217
2018/19,Scottish Borders,Female,95 and Older,57
2018/19,Scottish Borders,Male,18-64,30
2018/19,Scottish Borders,Male,65-74,25
2018/19,Scottish Borders,Male,75-84,54
2018/19,Scottish Borders,Male,85-94,55
2018/19,Scottish Borders,Male,95 and Older,11
2018/19,Shetland Islands,Female,65-74,6
2018/19,Shetland Islands,Female,75-84,15
2018/19,Shetland Islands,Female,85-94,26
2018/19,Shetland Islands,Male,65-74,7
2018/19,Shetland Islands,Male,75-84,12
2018/19,Shetland Islands,Male,85-94,17
2018/19,South Ayrshire,Female,18-64,50
2018/19,South Ayrshire,Female,65-74,47
2018/19,South Ayrshire,Female,75-84,181
2018/19,South Ayrshire,Female,85-94,342
2018/19,South Ayrshire,Female,95 and Older,108
2018/19,South Ayrshire,Male,18-64,45
