date,sex,age_group,council_area_2019,main_client_group,number_of_people,council_area,financial_year
2018-03-31,Male,75-84,S12000040,All Adults,76,West Lothian,2017/18
2018-03-31,Male,75-84,S12000041,All Adults,54,Angus,2017/18
2018-03-31,Male,75-84,S12000042,All Adults,113,Dundee City,2017/18
2018-03-31,Male,75-84,S12000045,All Adults,67,East Dunbartonshire,2017/18
2018-03-31,Male,75-84,S12000047,All Adults,250,Fife,2017/18
2018-03-31,Male,75-84,S12000048,All Adults,105,Perth and Kinross,2017/18
2018-03-31,Male,75-84,S12000049,All Adults,391,Glasgow City,2017/18
2018-03-31,Male,75-84,S12000050,All Adults,176,North Lanarkshire,2017/18
2018-03-31,Male,75-84,S92000003,All Adults,3302,Scotland,2017/18
2018-03-31,Male,85-94,S12000005,All Adults,19,Clackmannanshire,2017/18
2018-03-31,Male,85-94,S12000006,All Adults,124,Dumfries and Galloway,2017/18
2018-03-31,Male,85-94,S12000008,All Adults,76,East Ayrshire,2017/18
2018-03-31,Male,85-94,S12000010,All Adults,69,East Lothian,2017/18
2018-03-31,Male,85-94,S12000011,All Adults,73,East Renfrewshire,2017/18
2018-03-31,Male,85-94,S12000013,All Adults,21,Na h-Eileanan Siar,2017/18
2018-03-31,Male,85-94,S12000014,All Adults,83,Falkirk,2017/18
2018-03-31,Male,85-94,S12000017,All Adults,163,Highland,2017/18
2018-03-31,Male,85-94,S12000018,All Adults,61,Inverclyde,2017/18
2018-03-31,Male,85-94,S12000019,All Adults,46,Midlothian,2017/18
2018-03-31,Male,85-94,S12000020,All Adults,55,Moray,2017/18
2018-03-31,Male,85-94,S12000021,All Adults,70,North Ayrshire,2017/18
2018-03-31,Male,85-94,S12000023,All Adults,9,Orkney Islands,2017/18
2018-03-31,Male,85-94,S12000026,All Adults,50,Scottish Borders,2017/18
2018-03-31,Male,85-94,S12000027,All Adults,11,Shetland Islands,2017/18
2018-03-31,Male,85-94,S12000028,All Adults,95,South Ayrshire,2017/18
2018-03-31,Male,85-94,S12000029,All Adults,172,South Lanarkshire,2017/18
2018-03-31,Male,85-94,S12000030,All Adults,44,Stirling,2017/18
2018-03-31,Male,85-94,S12000033,All Adults,129,Aberdeen City,2017/18
2018-03-31,Male,85-94,S12000034,All Adults,166,Aberdeenshire,2017/18
2018-03-31,Male,85-94,S12000035,All Adults,51,Argyll and Bute,2017/18
2018-03-31,Male,85-94,S12000036,All Adults,274,City of Edinburgh,2017/18
2018-03-31,Male,85-94,S12000038,All Adults,148,Renfrewshire,2017/18
2018-03-31,Male,85-94,S12000039,All Adults,28,West Dunbartonshire,2017/18
2018-03-31,Male,85-94,S12000040,All Adults,95,West Lothian,2017/18
2018-03-31,Male,85-94,S12000041,All Adults,99,Angus,2017/18
2018-03-31,Male,85-94,S12000042,All Adults,74,Dundee City,2017/18
2018-03-31,Male,85-94,S12000045,All Adults,65,East Dunbartonshire,2017/18
2018-03-31,Male,85-94,S12000047,All Adults,247,Fife,2017/18
2018-03-31,Male,85-94,S12000048,All Adults,120,Perth and Kinross,2017/18
2018-03-31,Male,85-94,S12000049,All Adults,285,Glasgow City,2017/18
2018-03-31,Male,85-94,S12000050,All Adults,105,North Lanarkshire,2017/18
2018-03-31,Male,85-94,S92000003,All Adults,3131,Scotland,2017/18
2018-03-31,Male,95 and Older,S12000006,All Adults,20,Dumfries and Galloway,2017/18
2018-03-31,Male,95 and Older,S12000008,All Adults,7,East Ayrshire,2017/18
2018-03-31,Male,95 and Older,S12000010,All Adults,5,East Lothian,2017/18
2018-03-31,Male,95 and Older,S12000011,All Adults,8,East Renfrewshire,2017/18
2018-03-31,Male,95 and Older,S12000014,All Adults,17,Falkirk,2017/18
2018-03-31,Male,95 and Older,S12000017,All Adults,16,Highland,2017/18
2018-03-31,Male,95 and Older,S12000018,All Adults,5,Inverclyde,2017/18
